code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE
0001,Health Care Equipment & Services,1.53,1.226,2.372,0.3676,47.0,0.03,1.96,0.02,0.98,8.81
0002,Pharmaceuticals,2.32,2.3,4.45,1.31,17.0,0.13,5.6,0.09,3.88,10.24
0008,Software,0.42,0.41,0.57,0.37,12.0,0.04,9.52,0.02,3.57,9.51
0011,"Gas, Water & Multi-Utilities",0.475,0.31,0.68,0.28,10.0,0.05,10.53,0.02,3.37,17.57
0012,Food & Beverages,0.795,0.77,1.03,0.7721,11.0,0.07,8.81,0.02,2.77,9.12
0023,Software,0.31,0.3,0.52,0.2,17.0,0.02,6.45,0.0,1.61,9.15
0032,Telecommunications Service Providers,0.43,0.295,0.505,0.221,31.0,0.01,2.33,0.02,4.19,6.29
0037,"Travel, Leisure & Hospitality",0.12,0.11,0.185,0.15,-5.0,-0.02,-16.67,0.0,2.5,-16.0
0039,Industrial Services,0.225,0.155,0.5,0.22,13.0,0.02,8.89,0.01,2.84,8.18
0040,Software,0.39,0.385,0.88,0.16,15.0,0.03,7.69,0.01,2.36,15.75
0049,Personal Goods,0.47,0.455,1.52,0.4214,31.0,0.02,4.26,0.01,1.7,3.63
0050,Software,0.265,0.165,0.52,0.1464,-69.0,-0.0,-0.0,0.0,0.75,-2.66
0054,Chemicals,0.25,0.17,0.355,0.22,25.0,0.01,4.0,0.01,4.0,4.5
0058,Industrial Services,1.52,1.2,1.92,2.51,24.0,0.06,3.95,0.03,1.97,2.53
0065,Software,0.545,0.41,0.745,0.17,23.0,0.02,3.67,0.0,0.92,13.76
0078,Transportation & Logistics Services,0.345,0.32,0.545,0.09,70.0,0.0,0.0,0.0,0.58,5.44
0084,"Industrial Materials, Components & Equipment",0.265,0.245,0.69,0.28,-606.0,-0.0,-0.0,0.01,3.77,-0.14
0090,Technology Equipment,0.77,0.585,1.04,0.15,500.0,0.0,0.0,0.01,1.3,1.0
0097,Semiconductors,15.48,9.82,18.16,1.2727,63.0,0.24,1.55,0.06,0.37,19.18
0099,Industrial Services,1.1,0.84,1.39,0.3,16.0,0.07,6.36,0.05,4.55,22.6
0100,"Industrial Materials, Components & Equipment",0.515,0.245,1.035,0.1651,17.0,0.03,5.83,0.04,8.74,18.53
0101,Health Care Providers,0.64,0.47,0.82,0.45,58.0,0.01,1.56,0.0,0.27,2.47
0106,Software,0.835,0.625,1.23,0.22,15.0,0.05,5.99,0.04,4.79,24.86
0108,Software,0.785,0.645,0.972,0.49,15.0,0.05,6.37,0.04,5.73,10.61
0112,Technology Equipment,0.24,0.185,0.315,0.1711,33.0,0.01,4.17,0.0,0.21,4.21
0113,Technology Equipment,0.89,0.615,1.44,0.31,66.0,0.01,1.12,0.01,1.12,4.39
0120,Semiconductors,0.86,0.405,1.74,0.3,23.0,0.04,4.65,0.01,1.16,12.7
0126,Digital Services,2.49,1.07,2.85,0.5,19.0,0.13,5.22,0.01,0.4,26.0
0127,Semiconductors,2.01,1.38,2.67,0.4,45.0,0.04,1.99,0.01,0.5,11.25
0128,Semiconductors,3.09,2.55,5.516,0.42,56.0,0.06,1.94,0.04,1.2,13.24
0131,Digital Services,0.115,0.1,0.255,5.35,-8.0,-0.02,-17.39,0.0,3.48,-0.29
0136,Agricultural Products,0.275,0.11,0.385,0.184,12.0,0.02,7.27,0.0,0.73,12.23
0138,Digital Services,1.65,1.24,2.27,0.3223,21.0,0.08,4.85,0.0,0.3,24.14
0146,Technology Equipment,1.39,0.708,2.41,0.1229,87.0,0.02,1.44,0.0,0.36,13.02
0149,"Industrial Materials, Components & Equipment",0.46,0.26,0.575,0.52,25.0,0.02,4.35,0.01,1.17,3.56
0151,Industrial Engineering,1.09,0.48200000000000004,1.35,0.5426,38.0,0.03,2.75,0.01,0.69,5.31
0155,Health Care Equipment & Services,1.52,0.295,1.57,0.1961,-24.0,-0.06,-3.95,0.22,14.47,-32.79
0157,Personal Goods,0.75,0.26,0.98,0.2167,21.0,0.04,5.33,0.01,1.77,16.84
0163,Health Care Equipment & Services,1.75,1.24,5.7589999999999995,0.6969,4.0,0.44,25.14,0.02,1.43,63.77
0166,Semiconductors,3.09,1.72,3.7289999999999996,0.4178,37.0,0.08,2.59,0.08,2.75,19.87
0168,"Industrial Materials, Components & Equipment",1.02,0.545,1.56,0.44,23.0,0.04,3.92,0.02,1.72,9.89
0171,Agricultural Products,0.235,0.205,0.32,0.2481,15.0,0.02,8.51,0.01,4.26,6.29
0183,Personal Goods,0.505,0.395,0.75,0.3372,-14.0,-0.04,-7.92,0.02,3.56,-10.38
0186,"Travel, Leisure & Hospitality",0.64,0.52,0.981,0.7526,9.0,0.07,10.94,0.03,4.67,9.59
0187,Industrial Services,0.125,0.105,0.455,0.16,46.0,0.0,0.0,0.0,0.8,1.69
0189,Plantation,0.095,0.07,0.14,0.1,53.0,0.0,0.0,0.0,1.58,1.8
0190,Auto Parts,0.33,0.185,0.435,0.26899999999999996,21.0,0.02,6.06,0.01,3.03,5.95
0192,Construction,0.315,0.21,0.4,0.272,15.0,0.02,6.35,0.01,2.7,7.5
0193,Industrial Engineering,0.745,0.5,1.172,0.09,229.0,0.0,0.0,0.0,0.19,3.67
0197,Houshold Goods,0.265,0.185,0.395,0.17,14.0,0.02,7.55,0.0,1.89,10.94
0198,Construction,0.52,0.488,0.976,0.22,17.0,0.03,5.77,0.02,3.48,13.95
0199,Transportation & Logistics Services,0.735,0.29,0.83,0.47,23.0,0.03,4.08,0.01,1.36,6.72
0201,Pharmaceuticals,0.86,0.705,1.3019999999999998,0.28,18.0,0.05,5.81,0.02,2.09,17.0
0205,Houshold Goods,0.565,0.16399999999999998,0.685,0.16,26.0,0.02,3.54,0.01,1.5,13.56
0206,Construction,0.285,0.24,0.34,0.6,16.0,0.02,7.02,0.0,1.75,3.0
0207,Metals,0.38,0.11,0.46,0.1,50.0,0.01,2.63,0.0,0.39,7.6
0209,Technology Equipment,0.17,0.16,0.335,0.07,43.0,0.0,0.0,0.0,1.47,5.57
0210,Retailers,0.275,0.175,0.335,20.86,18.0,0.02,7.27,0.01,3.64,0.07
0211,Metals,0.52,0.19,0.87,0.6,9.0,0.06,11.54,0.0,0.96,9.92
0213,Industrial Services,0.635,0.52,1.22,0.29,14.0,0.05,7.87,0.03,4.72,15.97
0215,Industrial Services,1.11,0.733,2.207,0.21,44.0,0.03,2.7,0.01,0.6,12.14
0216,Houshold Goods,0.26,0.195,0.49,0.18,19.0,0.01,3.85,0.0,1.54,7.67
0218,Industrial Services,0.245,0.24,0.645,0.22,30.0,0.01,4.08,0.0,1.22,3.73
0219,"Energy, Infrastructure, Equipment & Services",0.465,0.3,0.855,0.22,15.0,0.03,6.45,0.01,1.61,14.59
0221,Construction,0.47,0.32,0.76,0.22,12.0,0.04,8.51,0.02,4.26,17.82
