code,category,Price,52w low,52w high,BVPS,P/E,EPS,EY,DPS,DY,ROE,ROE2,D/E,D/E2
0001,Industrial Products & Services,2.26,0.314,2.38,0.3356,77.0,0.03,1.33,0.02,0.66,8.73,9.65,0.0,0.0
0002,Health Care,3.23,1.6,4.45,1.31,16.0,0.2,6.19,0.09,2.79,15.25,16.33,0.1,0.1
0005,Technology,0.165,0.035,0.23,0.04,-7.0,-0.02,-12.12,0.0,0.0,-62.25,-72.17,0.0,0.01
0006,Technology,0.34,0.18,0.385,0.47,-6.0,-0.06,-17.65,0.0,0.0,-12.23,0.09,0.02,0.0
0010,Technology,0.31,0.06,0.45,0.0955,675.0,0.0,0.0,0.0,0.0,0.52,4.91,0.06,0.07
0011,Utilities,0.455,0.15,0.68,0.26,15.0,0.03,6.59,0.02,3.52,12.04,9.77,0.38,0.34
0012,Consumer Products & Services,0.84,0.53,0.895,0.7490000000000001,13.0,0.06,7.14,0.02,2.62,8.52,8.69,0.03,0.04
0018,Technology,0.04,0.005,0.08,0.0658,6.0,0.01,25.0,0.0,0.0,9.42,15.59,0.0,0.0
0021,Technology,2.79,1.04,3.08,0.6043,200.0,0.01,0.36,0.0,0.0,2.32,6.77,0.05,0.06
0022,Consumer Products & Services,0.415,0.025,0.575,0.03,-31.0,-0.01,-2.41,0.0,0.0,-45.0,-8.63,0.2,0.16
0023,Technology,0.385,0.165,0.56,0.2,36.0,0.01,2.6,0.01,2.6,5.3,4.98,0.0,0.0
0024,Industrial Products & Services,0.17,0.1,0.4,0.0862,44.0,0.0,0.0,0.0,0.0,4.41,-7.78,0.13,0.14
0025,Industrial Products & Services,0.175,0.075,0.25,0.25,44.0,0.0,0.0,0.0,0.0,1.6,1.05,0.04,0.04
0026,Technology,0.09,0.015,0.135,0.08,-25.0,-0.0,-0.0,0.0,0.0,-4.5,-6.27,0.01,0.02
0028,Industrial Products & Services,0.265,0.065,0.29,0.1533,-7.0,-0.04,-15.09,0.0,0.0,-24.33,-27.68,0.04,0.04
0029,Technology,0.075,0.015,0.21,0.08,-38.0,-0.0,-0.0,0.0,0.0,-2.5,-4.59,4.17,4.25
0034,Technology,0.37,0.12,1.97,0.1384,-15.0,-0.02,-5.41,0.0,0.0,-17.99,-29.9,0.12,0.19
0036,Technology,0.06,0.009000000000000001,0.12,0.1118,-59.0,-0.0,-0.0,0.0,0.0,-0.89,-24.04,0.2,0.24
0037,Consumer Products & Services,0.125,0.1,0.215,0.17,13.0,0.01,8.0,0.0,2.4,5.88,16.0,0.09,0.09
0038,Industrial Products & Services,0.225,0.05,0.25,0.1349,-27.0,-0.01,-4.44,0.0,0.0,-6.15,-7.47,0.01,0.01
0040,Technology,0.65,0.17300000000000001,0.88,0.22,25.0,0.03,4.62,0.0,0.0,11.68,18.29,0.18,0.21
0041,Technology,1.04,0.04,1.88,0.1925,-69.0,-0.02,-1.92,0.0,0.0,-7.84,-18.99,0.03,0.01
0043,Industrial Products & Services,0.065,0.015,0.125,0.07,-5.0,-0.01,-15.38,0.0,0.0,-20.0,-19.72,0.0,0.0
