code,split_date,ratio
7086,11/10/2006,1:5
7120,01/12/2005,2:1
9148,11/03/2010,1:2
6599,05/28/2014,2:1
7145,11/21/2003,1:25
7609,08/04/2016,4:1
5115,10/19/2007,2:1
5959,08/23/2007,2:1
5959,02/14/2005,1:2
4758,12/19/2008,1:1
7099,03/20/2012,1:10
8885,12/14/2007,5:1
6602,01/05/2016,2:1
3239,11/21/2017,2:1
4219,09/17/2010,2:1
4219,12/09/2005,1:5
1562,07/13/2009,1.1:1
7174,08/02/2017,5:2
2836,05/27/2005,2:1
7035,06/11/2018,2:1
7035,09/23/2009,1:1
7035,06/25/2008,2:1
8982,03/10/2001,1:2
2879,12/20/2017,1:3
5007,07/07/2004,2:1
7117,10/03/2014,2:1
7117,09/04/2009,1:1
7018,07/03/2008,10:1
5071,11/08/2004,5:1
2127,10/29/2014,1:2
2127,07/15/2004,1:2.5
5037,09/18/2007,10:1
5037,11/11/2005,1:20
8125,02/17/2016,2:1
3484,07/29/2009,160:500
5276,05/16/2017,2:1
8338,04/17/2002,1:2
5216,12/23/2013,5:1
0091,06/22/2009,1:1
0091,07/04/2008,2:1
5132,06/12/2014,2:1
5132,06/23/2008,1:1
7277,04/19/2004,10:1
6947,11/21/2011,10:1
5835,04/07/2003,1:2
7148,07/12/2004,2:1
3948,03/15/2007,1:10
2097,03/02/2009,1:2
8206,01/20/2015,2:1
5253,12/26/2017,2:1
0064,06/10/2008,1:1
8613,03/30/2000,1:2
0065,06/16/2017,2:1
7047,09/14/2010,21:20
7047,06/10/2008,2:1
5029,08/14/2018,3:1
2755,11/29/2007,1:5
3107,10/08/2014,2:1
9318,08/30/2006,2:1
9172,11/26/2008,2:1
9261,11/23/2016,2:1
0078,12/13/2013,2:1
3182,04/11/2007,5:1
4715,04/11/2007,5:1
3204,08/08/2017,3:2
0021,02/05/2007,1:5
5220,12/12/2018,1:20
7022,05/24/2018,2:1
7022,03/13/2009,1:5
7022,04/22/2004,10:1
5020,10/11/2011,2:1
0082,07/13/2007,1:2
9962,12/08/2004,2:1
7668,03/16/2010,2:1
2062,03/29/2016,2:1
5095,07/21/2015,4:1
3298,12/10/2008,1:1
8443,07/28/2004,2:1
6238,01/17/2008,5:1
7013,02/13/2017,1:20
7013,07/04/2007,5:1
5024,04/02/2014,5:1
5024,01/28/2010,2:1
4251,08/07/2014,2:1
5084,11/04/2015,2:1
5255,01/22/2020,1:50
5606,07/07/2009,1:1
1961,06/04/2007,5:1
7183,04/09/2014,2.5:1
8648,11/09/2004,10:1
0058,04/30/2015,1:5
0058,09/02/2013,2:1
0058,12/24/2007,1:2
8931,03/24/2000,1:40
6769,07/26/2007,10:1
5172,10/27/2010,3:1
7216,07/16/2008,1:1
7323,05/14/2014,2:1
7161,11/22/2007,1:2
7077,01/29/2020,1:5
7077,10/22/2007,10:1
5060,09/27/2007,5:1
7164,12/02/2010,1:4
7164,07/12/2007,2:1
7033,05/04/2009,1:1
9083,01/29/2014,2:1
6572,01/02/2008,2:1
9385,10/12/2016,5:1
8494,12/29/2009,1:1
5789,02/22/2018,2:1
9881,11/23/2004,2:1
8745,06/30/2008,2:1
3573,02/07/2001,3:4
7085,06/26/2015,2:1
7617,01/15/2010,4:1
7087,10/14/2019,2:1
8583,06/21/2007,2:1
8141,05/08/2006,1:2.326
3794,11/13/2007,3:10
5916,08/13/2018,2:1
5098,08/12/2008,1:1
5182,03/09/2015,1:100
7234,12/22/2017,3:2
0043,12/21/2018,1:3
7595,07/14/2014,1:5
5001,07/03/2017,5:2
7219,01/17/2008,5:1
5576,07/27/2016,2:1
9571,06/29/2011,2:1
5703,10/30/2007,2:1
3905,06/28/2017,1:10
9806,12/07/2016,2:1
7241,02/24/2015,2:1
4944,12/30/2009,1:1
4944,06/21/2004,1:2
3018,03/15/2007,1:10
7107,09/15/2015,2:1
6009,07/14/2010,2:1
6009,01/03/2008,1:1
7052,01/03/2011,5:1
7052,07/04/2007,2:1
5022,12/15/2004,2:1
1724,06/21/2011,2:1
5657,10/05/2007,1:4
7160,11/29/2017,2:1
5219,07/27/2016,2:1
7081,05/31/2013,2:1
9695,10/17/2007,5:1
7172,04/30/2018,2:1
7088,10/16/2015,2:1
5080,02/18/2008,2:1
9873,03/02/2005,2:1
7168,09/08/2016,2:1
7123,12/15/2009,1:1
7201,12/28/2007,5:1
8966,09/17/2013,2:1
1295,05/26/2004,1:2
8273,08/11/2004,2:1
6807,02/21/2007,35:100
7134,07/11/2016,2:1
9296,04/21/2016,1:4
9296,05/26/2004,10:1
9946,10/19/2017,4:1
7803,02/05/2010,2:1
5252,03/04/2016,2:1
4731,01/07/2008,1:1
4731,04/13/2007,2:1
7045,02/27/2020,1:5
9792,07/08/2011,2:1
9792,07/12/2010,2:1
5279,12/02/2019,3:2
7155,11/04/2004,10:1
7248,04/21/2010,2:1
5242,11/07/2017,2:1
7103,01/19/2009,2:1
7207,12/18/2017,2:1
7235,06/05/2017,2:1
7106,03/16/2007,2:1
2259,02/12/2009,3:1
8524,11/05/2015,5:2
8524,07/26/2005,2:1
5140,10/08/2015,2:1
4448,07/30/2010,1:1.49
9369,01/07/2009,60:1
5112,01/02/2009,1:1
7079,06/01/2018,1:4
5031,05/11/2012,1:5
8397,11/29/2013,5:1
5239,12/26/2017,2:1
7285,06/01/2017,2:1
7285,09/01/2010,2:1
7113,01/31/2005,2:1
5054,07/13/2011,2:1
9059,01/06/2005,2:1
7100,04/27/2004,5:1
1368,12/22/2000,1:2
4588,02/28/2008,2:1
5005,02/07/2005,2:1
6963,09/09/2015,5:1
7240,07/13/2010,2:1
7240,11/24/2008,1:1
7070,10/15/2018,1:7
7226,11/23/2006,2:1
7231,09/11/2017,3:2
7231,03/21/2014,2.5:1
7231,02/20/2008,1:1
7050,05/30/2005,2:1
4243,08/08/2007,2:1
5584,09/02/2010,2:1
7293,06/26/2014,2:1
7020,05/09/2008,2:1
6742,09/09/2008,1:1
6742,06/28/2004,2:1
